comments,label,comments_cleaned
đóng gói đẹp mắt chất son siêu min đánh lên môi mà mướt sẽ ủng hộ thêm,0,đóng_gói đẹp_mắt chất son siêu min đánh môi mướt ủng_hộ
màu không giống ảnh nhưng tạm được hơi thất vọng nghĩ là màu sẽ đẹp giao hàng nhanh mùi nhẹ dễ chịu 02 joyful,2,màu ảnh tạm hơi thất_vọng màu đẹp giao hàng mùi nhẹ dễ_chịu 02 joyful
son đẹp giao hành nhanh bao bì xinh sẽ mua lại 🥰,0,son đẹp giao hành bao_bì xinh mua 🥰
chưa dùng nên chưa biết hiệu quả ra sao không biết có tốt như mọi người bảo không nhưng đóng gói và bao bì của son rất đẹp,0,chưa hiệu_quả biết bảo không đóng_gói bao_bì son đẹp
sản phẩm đúng là màu đã chọn nhưng không giống ảnh nói thật là khác hoàn toàn,1,sản_phẩm màu ảnh là hoàn_toàn
đây là lần mua thứ 2 rồi gói hàng đẹp cẩn thận giao hàng cũng bình thường nói chung là ưng thanks shop 😘,0,mua 2 gói hàng đẹp cẩn_thận giao hàng bình_thường nói_chung là ưng thanks shop 😘
hình thức bên ngoài là dán giấy in hình lên vỏ son chứ không phải là in trực tiếp lên vỏ son như cây son cũ mình đã sử dụng hình thức này làm mình có cảm giác không phải hàng thật chính hãng màu son chery lên đẹp mà hơi đậm màu không quá tối so với tưởng tượng của mình cả 2 đều thơm,2,hình_thức dán giấy in hình vỏ son là in trực_tiếp lên vỏ son son cũ sử_dụng hình_thức mình cảm_giác không phải hàng hãng màu son chery lên đẹp hơi đậm màu không tối tưởng_tượng mình 2 thơm
son màu siêu xinh luôn mình mua cây 23 về để mix với cây mac 408 mình lỡ mua mà màu bị đậm quá 2 cây mix lại ra được màu dễ thương tự nhiên lắm như hình à cây 23 ra như màu cam đào nude nha mọi người nhẹ nhàng lắm,0,son màu siêu xinh mua 23 mix cây mac 408 mình lỡ mua màu đậm 2 cây mix màu dễ_thương tự_nhiên lắm hình cây 23 ra như màu cam đào nude nha nhẹ_nhàng lắm
nói tặng kèm dù mà lúc nhận chỉ có son không có dù cảm thấy bực bội,1,tặng kèm son có dù cảm_thấy bực_bội
quá tệ mình đặt cam đỏ lại giao màu hồng cánh sen,1,tệ cam đỏ giao màu hồng cánh_sen
mình nhận được hàng rồi mình rất thích shop gói hàng cẩn thận và rất chắc chắn đặc biệt rất thích màu 21 đánh lên rất đẹp tiện thể shop cho mình hỏi cỡ chữ số từng màu với tem dán dưới đáy 2 cái không giống nhau là theo lô sản phẩm pk shop em cám ơn,0,hàng mình shop gói hàng cẩn_thận rất chắc_chắn đặc_biệt rất thích màu 21 đánh rất đẹp tiện_thể shop mình cỡ chữ_số màu tem dán đáy 2 lô sản_phẩm pk shop cám_ơn
hàng được đóng gói kĩ càng đẹp màu son giao đúng màu đã đặt tuy nhiên thời gian giao hàng khá lâu chất son ổn,0,hàng đóng_gói kĩ_càng đẹp màu son giao màu tuy_nhiên thời_gian giao hàng chất son ổn
sản phẩm tuyệt vời giao hàng hơi lâu son đẹp mùi thơm lần này mua còn được tặng túi ủng hộ shop dài 😘,0,sản_phẩm tuyệt_vời giao hàng hơi son đẹp mùi thơm mua tặng túi ủng_hộ shop 😘
nhận được hàng thì đóng gói lỏng lẻo mặc dù có son thỏi ở trong nhưng không bọc chống sốc để rồi khi mở son ra thì thanh son xúc ra khỏi vỏ son và dính lên vỏ nắp,1,hàng đóng_gói lỏng_lẻo mặc_dù son thỏi bọc chống sốc son thì son xúc ra vỏ son dính vỏ nắp
màu lên không chuẩn đỏ cam mà lên đỏ hồng trầm màu thâm khó nói có lâu trôi,1,màu chuẩn đỏ cam lên đỏ hồng trầm màu thâm trôi
giao hàng siu nhanh gói hàng cẩn thận son thơm màu đẹp ヽ 八 o o ノ,0,giao hàng siu gói hàng cẩn_thận son thơm màu đẹp ヽ 八 o_o ノ
giao hàng quá nhanh chất lượng sp thì khỏi bàn màu son lên đẹp chờ mãi mới restock để mua,0,giao hàng chất_lượng sp bàn màu son đẹp chờ mãi restock mua
màu 04 đẹp lắm nhé son mịn và thơm rất ưng 8 👍,0,màu 04 đẹp lắm son mịn thơm ưng 8 👍
son đẹpm lépm nha mỗi tội son để lại stem màu hồng 😭,2,son đẹpm lépm nha tội son stem màu hồng 😭
chất son rất ok nhưng giao hàng hơi chậm màu 25 nghiêng về tông đỏ nâu trầm nên phù hợp với các bạn theo phong cách chín chắn chanh xả giá tiền phải chăng lại chính hãng nữa nên rất yên tâm,0,chất son ok giao hàng hơi chậm màu 25 nghiêng tông đỏ nâu trầm phù_hợp phong_cách chín_chắn chanh xả giá tiền phải_chăng hãng nên rất yên_tâm
hàng đúng như hình mình rất ưng màu này son có mùi ngọt ngọt í siêu thích,0,hàng hình ưng màu son mùi ngọt í siêu
maug son đẹp giao hàng nhanh chóng son mịn màu 13 cảm giác hơi giống son tint không chất nhung như màu 1,0,maug son đẹp giao hàng nhanh_chóng son mịn màu 13 cảm_giác hơi son tint chất nhung màu 1
hàng auth đúng màu màu lên đẹp lắm luôn cầm chắc tay cho 5 sao vì giao hàng siêu siêu nhanh,0,hàng auth màu màu đẹp lắm cầm_chắc_tay 5 giao hàng siêu siêu
mình mở ra thấy rây hết ra thành và trên son rồi không hiểu là do vận chuyển hay có người sử dụng rồi nữa,1,rây ra thành son vận_chuyển sử_dụng rồi
son cực kì đẹp ưng quá trời mùi son thơm màu xinh xỉu chắc mua hoài 😍 🤣,0,son cực_kì đẹp ưng trời mùi son thơm màu xinh xỉu mua hoài 😍 🤣
son đẹp mùi thơm lên màu ok sẽ ủng hộ shop lần sau nếu còn ạ ❤ 😂 😍,0,son đẹp mùi thơm màu ok ủng_hộ shop ❤ 😂 😍
lên môi mình thấy đỏ nhiều hơn hồng nhưng nhìn chung vẫn đẹp phù hợp với việc son đi học mặt tươi tắn hẳn đó ạ,0,môi đỏ hồng nhìn_chung đẹp phù_hợp son đi học mặt tươi_tắn hẳn
màu không hề giống những cây bạn em mua hay swatch hoàn toàn là đỏ đất không có cam luôn thất vọng,1,màu hề mua swatch hoàn_toàn đỏ đất không cam thất_vọng
dính môi nhanh trôi,1,dính môi trôi
son khô cứng môi không mướt,1,son khô_cứng môi mướt
rất ưng màu son đóng gói đẹp chắc chắn nhìn thiết kế vỏ son mê luôn son mùi thơm,0,ưng màu son đóng_gói đẹp chắc_chắn thiết_kế vỏ son mê son mùi thơm
mẫu mã đẹp chưa đánh thử nhưng ngửi thì thấy thơm,0,mẫu_mã đẹp đánh thử ngửi thơm
cây son bé tí để trong hộp bự chà bá mà không có miếng chống xóc cầm hộp lắc qua lắc lại nghe tiếng mà xót cả cây son shop rút kinh nghiệm nhé về chất lượng son thì ok nhưng đóng gói không được chút nào,1,son bé tí hộp bự chà_bá miếng chống xóc cầm hộp lắc lắc tiếng mà xót cây son shop rút kinh_nghiệm chất_lượng son ok đóng_gói không chút
m mua thỏi son màu cam đất nhưng cảm nhận đầu tiên là màu cam tươi thì đúng hơn thứ 2 nữa là phần tặng hay nói cách khác là mua với giá 0 đồng đánh lừa kiểu phải tick vào ô mua với giá 0đ mới được mua xong phản hồi thì nói do lỗi của mình ok fine i,1,m mua thỏi son màu cam đất cảm_nhận đầu_tiên màu cam tươi 2 nữa_là tặng là mua giá 0 đồng đánh_lừa kiểu tick ô mua với giá 0đ mua xong phản_hồi thì nói lỗi ok fine i
đẹp 😍,0,đẹp 😍
trên mạng màu nâu nâu cam cam thế mà giao hàng lại ra màu hồng,1,mạng màu nâu nâu cam cam thế_mà giao hàng màu hồng
sản phẩm đóng gói rất đẹp màu sắc phù hợp giao hàng khá nhanh,0,sản_phẩm đóng_gói đẹp màu_sắc phù_hợp giao hàng
shop gói hàng cẩn thận son lên màu xinh có điều mùi son mình không yêu thương nổi,2,shop gói hàng cẩn_thận son màu xinh mùi son yêu_thương nổi
chất son rất mướt không bị khô môi tí nào lên màu rất chuẩn 🥰,0,chất son mướt khô môi tí màu rất chuẩn 🥰
son thơm mùi trái cây nhẹ chất son mềm mịn shop gói hàng khá cẩn thận chắc chắn,0,son thơm mùi trái_cây nhẹ chất son mềm mịn shop gói hàng cẩn_thận chắc_chắn
tí thì tưởng không được nhận hàng trước tết thì nguy được tặng lịch bàn xinh xắn lắm luôn mà mua giá flash sale chút chút nữa chứ nói chung là siêu ưng 😂,0,tí tưởng hàng tết thì nguy được tặng lịch bàn xinh_xắn lắm mua giá flash sale chút chút nói_chung siêu ưng 😂
sản phẩm chất lượng lắm nha nhận được hàng vui lắm shop giao hàng hơi lâu 1 chút nhu2ng mà sản phẩm chất lượng nên bỏ qua hết nha son mùa thơm lắm đánh lên rất đẹp nha hehe không hối hận vì đã mua của shop sẽ ủng hộ shop lâu dài nè,0,sản_phẩm_chất_lượng lắm nha hàng vui lắm shop giao hàng hơi 1 chút nhu2ng sản_phẩm_chất_lượng bỏ_qua nha_son mùa thơm lắm đánh đẹp nha hehe hối_hận mua shop ủng_hộ shop lâu_dài nè
bia màu 13 chưa bao giờ làm mình thất vọng sẽ tiếp tục ủng hộ shop,0,bia màu 13 bao_giờ thất_vọng tiếp_tục ủng_hộ shop
chất lượng tuyệt vời giao hàng nhanh đóng gói đẹp và chắc chắn,0,chất_lượng tuyệt_vời giao hàng đóng_gói đẹp chắc_chắn
tuyệt i,0,tuyệt i
màu đẹp lâu trôi,0,màu đẹp trôi
dùng rất thích sẽ urng hộ dài dài,0,urng hộ dài_dài
mình có xem rv nên đã chọn màu 13 màu hồng pha cam đất màu cực tự nhiên chất son mịn mùi thơm nhẹ không khô nếu bạn tẩy tế bào chết môi thường xuyên nha,0,rv màu 13 màu hồng pha cam đất_màu cực tự_nhiên chất son mịn mùi thơm nhẹ khô tẩy tế_bào chết môi thường_xuyên nha
mua trên 50k nhưng lại không có quà vận chuyển thì khá kém không có mã giảm giá,1,mua 50k quà vận_chuyển kém không có mã giảm_giá
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp và chắc chắn rất đáng tiền,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn tiền
son fake nặng luôn đấy ạ chán không nói lên lời 🙂,1,son fake đấy chán 🙂
siêu xịn mịn thơm cưng lắm ạ đóng gói sản phẩm đẹp và chắc chắn,0,siêu xịn mịn thơm cưng lắm đóng_gói sản_phẩm đẹp chắc_chắn
nhận đúng sản phẩm son lên môi nhẹ màu hơi nhạt so với mẫu nhưng xài ok so với giá tiền hợp lý chỉ không hài lòng lắm với cách chăm sóc khách hàng của shop thôi,2,sản_phẩm son môi nhẹ màu hơi nhạt mẫu xài ok so với giá tiền hợp_lý hài_lòng lắm với chăm_sóc khách_hàng shop
màu không giống đỏ đất như mình kì vọng cảm thấy tone đỏ đất của bia thiên về hồng khá nhiều son thỏi trước mình mua tone đỏ đất cũng bị vậy đánh lên môi ra hồng nhiều không ưng lắm về chất son thì mềm mượt dưỡng nhiều hơi có mùi thơm nhẹ,2,màu đỏ đất kì_vọng cảm_thấy tone đỏ đất bia thiên hồng son thỏi mình mua tone đỏ đất đánh môi hồng nhiều không ưng lắm về chất son mềm mượt dưỡng nhiều hơi mùi thơm nhẹ
giao hsnfg nhanh do mình đã mua 1 lần rồi nên chất lượng oke 🌱 🍒 💪 😂 😅 🥂,0,giao hsnfg mua 1 chất_lượng oke 🌱 🍒 💪 😂 😅 🥂
lần thứ 2 mua hàng tại shop rồi và chưa bao giờ thất vọng rất ưng luôn á mọi người sẽ còn tiếp tục ủng hộ shop 😍 😘,0,2 mua hàng shop bao_giờ thất_vọng ưng tiếp_tục ủng_hộ shop 😍 😘
ngàn sao luôn ấy được giảm giá mà mở ra còn được tặng túi yêu lắm luôn chính hãng 10 màu 13 ver 3 yêu cực ❤ 🤪,0,ngàn giảm_giá được tặng túi yêu lắm luôn hãng 10 màu 13 ver 3 yêu cực ❤ 🤪
son rất đẹp chất son hơi lỏng có hơi hồng trên môi đóng gói rất chắc chắn,0,son đẹp chất son hơi lỏng hơi hồng môi đóng_gói rất chắc_chắn
đống gói đẹp chất lượng sản phẩm tốt giao hàng nhanh,0,đống gói đẹp chất_lượng sản_phẩm giao hàng
giao đúng sản phẩm màu son đẹp chính hãng chiều hôm qua mới đặt hàng nà sáng hôm sau đã giao rồi cho shop 5 sao nhé ❤,0,giao sản_phẩm màu son đẹp hãng chiều hôm_qua đặt_hàng nà hôm giao shop 5 ❤
cái hộp sịn sò lắm shop ạ giai hàng nhanh màu đẹp 👍 😁,0,hộp sịn sò lắm shop giai hàng màu đẹp 👍 😁
chất mềm nhưng khi thoa lên 1 lúc không được mịn hẳn màu mình mua hơi chói so với ảnh hơi thất vọng,1,chất mềm thoa 1 mịn hẳn màu mua hơi chói ảnh hơi thất_vọng
nhờ bạn lấy hộ nên chưa có hình nhưng hàng của merzy mua nhiều lắm ròi là hiểu hen,0,hộ hình hàng merzy mua lắm ròi hen
chất son mềm mịm bám tốt rất đáng tiền sẽ tiếp tục ủng hộ shop,0,chất son mềm mịm bám tiền tiếp_tục ủng_hộ shop
mùi thơm son xịn chất lượng tuyệt vời ✨,0,mùi thơm son xịn chất_lượng tuyệt_vời ✨
đẹp quá shop ơi rẻ đẹp thế này ủng hộ mãi thoi,0,đẹp shop rẻ đẹp ủng_hộ mãi thoi
mua ở mal nên vẫn rất yên tâm về chất lượng đóng gói chắc chắn,0,mua mal yên_tâm chất_lượng đóng_gói chắc_chắn
nhận được son kèm thiệp rất xinh xắn chưa test lên môi nên chưa đánh giá son vội hihi,0,son kèm thiệp xinh_xắn test môi chưa đánh_giá son vội hihi
màu đẹp nhưng mau phai,2,màu đẹp mau phai
màu đẹp,0,màu đẹp
giao hàng nhanh gói hàng cẩn thận,0,giao hàng gói hàng cẩn_thận
giao hàng nyanh đóng gói sản phẩm chắc chắn son mềm tệp môi,0,giao hàng nyanh đóng_gói sản_phẩm chắc_chắn son mềm tệp môi
màu đẹp chuẩn 👍,0,màu đẹp chuẩn 👍
son trôi khá nhanh ăn uống tầm được hơn 2 tiếng đến 3 tiếng thôi ý thêm cái nữa thấy để giao hàng 4h gì đó mà tận 2 ngày mới nhận được hàng,1,son trôi ăn_uống tầm 2 tiếng 3 tiếng giao hàng 4h tận 2 được hàng
son màu đẹp giữ màu tốt shop đóng gói cẩn thận mà bên vận chuyển giao hàng chậm,0,son màu đẹp màu shop đóng_gói cẩn_thận vận_chuyển_giao hàng chậm
chỉ tin tưởng mua bia ở sky07 thôi còn son thì vẫn rất ngon đã dùng đến cây thứ 4 dòng này rồi,0,tin_tưởng mua bia sky07 son ngon 4 dòng
màu như mô tả chất son lì nhưng không khô môi,0,màu mô_tả chất son lì khô môi
giao hàng nhanh lắm ạ màu số 3 là đỏ ớt nhưng ở ngoài sắc cam đất nhiều hơn nếu không trang điểm thì hơi xỉn men răng với da 1 xíu,0,giao hàng lắm màu 3 đỏ ớt sắc cam đất trang_điểm hơi xỉn men da 1 xíu
sau khi chỉ dùng được 2 ngày mình xin sửa lại đánh giá lần đầu cho sp nào 1 sao tuy màu đẹp chất son mịn nhưng quá mềm quá dễ gãy lần đầu 1 cây son thỏi của mình bị gãy như thế nào còn không cứng cáp như thỏi mamonde bây giờ gãy như thế này thì dùng kiểu gì nữa mọi người đừng nên mua phí tiền để 150k ấy mà mua son thỏi hãng,1,2 sửa đánh_giá đầu sp 1 màu đẹp chất son mịn mềm quá gãy lần đầu 1 son thỏi mình gãy thế_nào cứng_cáp như thỏi mamonde bây_giờ gãy như dùng kiểu đừng mua phí tiền 150k mua son thỏi hãng
màu 25 siêu xinh tôn da lắm luôn mình đã chờ cái màu này nó restock lâu lắm rồi lúc đầu mình cứ sợ nó sẽ có base hồng nhưng không hề luôn đánh lên lòng môi sẽ có màu đỏ đậm nha mình thấy đánh lòng môi sẽ xinh hơn đánh ful môi vì ful sẽ hơi đậm và già nói chung quá ưng ý và sẽ tiếp tục ủng hộ,0,màu 25 siêu xinh tôn da lắm chờ màu restock lắm đầu mình sợ nó base hồng hề luôn đánh môi sẽ có màu đỏ đậm nha mình đánh lòng môi sẽ xinh đánh ful môi ful sẽ hơi đậm già nói_chung ưng_ý và sẽ tiếp_tục ủng_hộ
chất son không đẹp,1,chất son đẹp
màu này mình đã mua tận hai cây rồi màu xinh và chất son mịn lì thích lắm,0,màu mua tận hai màu xinh chất son mịn lì lắm
shop giao nhanh hàng đóng gói tốt chất lượng thì time sau mới biết được,0,shop giao hàng đóng_gói chất_lượng time
ưng lắm nè hihi,0,ưng lắm nè hihi
sản phẩm đóng gói rất đẹp xịn nhưng màu không như ảnh màu như kiểu hồng pha chút đỏ ý nói chung hồng nhiều hơn đỏ không giống hình chút nào đánh nhạt còn ra hồng phơn phớt,2,sản_phẩm đóng_gói đẹp xịn màu ảnh màu như kiểu hồng pha chút đỏ nói_chung hồng đỏ không hình chút đánh nhạt hồng phơn_phớt
chấy lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ tốt rất đáng tiền mua ở shope mal nên yên tâm hàng chính hãng sẽ ủng hộ shop tiếp 🥰,0,chấy sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ rất tiền mua shope mal yên_tâm hàng hãng ủng_hộ shop tiếp 🥰
mua sản phẩm giảm 129k ghi được tặng 1 son mà cuối cùng nhận được chỉ có cây son mua không có son tặng quá thất vọng luôn dù em chưa thử chất lượng son như thế nào,1,mua sản_phẩm 129k ghi tặng 1 son cuối_cùng được son mua có son tặng thất_vọng thử chất_lượng son thế_nào
mình mua son màu cam đào mà shop giao màu gì không biết,1,mua son màu cam đào shop giao màu
shop gói bằng hộp đẹp quá mở ra ưng cả luôn vỏ son đến son yêu quá nhiều ý lần sau mình lại ủng hộ shop tiếp 😘,0,shop gói hộp đẹp ưng vỏ son son yêu quá ủng_hộ shop tiếp 😘
son dùng chán,1,son chán
lên màu không được giống lắm,1,màu lắm
đóng gói tốt chắc chắn,0,đóng_gói chắc_chắn
đã nhận được hàng chất lượng chưa kiểm chứng đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ tốt,0,hàng chất_lượng kiểm_chứng đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ
lần trước mình mua 1 em rồi siêu lì luôn lần này không biết sao mà siêu trôi luôn buồn ghê,1,mua 1 siêu lì lần siêu trôi luôn buồn_ghê
em đặt màu son kinda nhưng shop giao sai màu cho em em nhắn tin thì shop sen không rep nhắn rất nhiều trên shope nhưng cũng không nhận được phản hồi lại cho đến lúc em yêu cầu hoàn tiền thì shop mới trả lời dr để giải quyết nhưng chưa xử lí xong đã of làm việc như thế này là thiếu trách nhiệm,1,màu son kinda shop giao sai màu em_em nhắn_tin shop sen rep nhắn shope nhưng không phản_hồi cho em yêu_cầu hoàn tiền thì shop trả_lời dr giải_quyết nhưng xử_lí xong of làm_việc trách_nhiệm
mẫu mã đẹp,0,mẫu_mã đẹp
màu sáng hơn hình lâu trôi để lâu sẽ khô môi màu lên rõ sau 1 lần swatch,2,màu hình trôi lâu khô môi màu 1 swatch
,0,
son có ưu điểm màu lên đậm bám dính tốt khuyết điểm là trôi không đều phải tẩy nhiều mới hết mùi thơm nhẹ,2,son ưu_điểm màu đậm bám dính khuyết_điểm trôi tẩy mùi thơm nhẹ
shop giao hàng nhanh son vỏ xanh siêu siêu đẹp ạ màu son lên khá chuẩn chất son mềm mượt không gây khô môi mình rất ưng ý ạ,0,shop giao hàng son vỏ xanh siêu siêu đẹp màu son chuẩn chất son mềm mượt khô môi ưng_ý ạ
giao hàng khá nhanh màu son lên đẹp chất lượng khá ổn đóng gói chắc chắn nhưng quá nhanh trôi màu không hề lì,2,giao hàng màu son đẹp chất_lượng khá ổn đóng_gói chắc_chắn nhanh trôi màu hề lì
sản phẩm chất lượng tốt giao hàng nhanh ship nhiệt tình son màu đẹp,0,sản_phẩm_chất_lượng giao hàng ship nhiệt_tình son màu đẹp
hàng nhận được đóng gói cẩn thận son an tâm vì hàng chính hãng nhưng số 1 mà lên màu vẫn có màu tìm hồng chắc do môi mõi người hay sao à,0,hàng đóng_gói cẩn_thận son an_tâm hàng hãng 1 màu màu hồng môi mõi
mình đặt màu số 10 được giao màu số 6,1,màu 10 giao màu số 6
son chính hãng ạ màu đẹp lắm ạ đánh lên môi ưng lắm shop đóng gói sản phẩm đẹp và chắc chắn sẽ quay lại,0,son hãng màu đẹp lắm ạ đánh môi ưng lắm shop đóng_gói sản_phẩm đẹp chắc_chắn
rất ưng ý lần sau sẽ mua típ ạ,0,ưng_ý mua típ
xinh xẻo lắm ạ,0,xinh_xẻo lắm
dhop đóng gói cẩn thận mua hàng mal của shope cũng chưa lần nào bị thất vọng màu son đẹp hợp với mình,0,dhop đóng_gói cẩn_thận mua hàng mal shope thất_vọng màu son đẹp hợp
đóng gói sản phẩm đẹp và chắc chắn thời gian giao hàng rất nhanh,0,đóng_gói sản_phẩm đẹp chắc_chắn thời_gian giao hàng
không check được mã vạch son nhanh trôi,1,check mã_vạch son trôi
màu son đẹp mềm môi đóng gói chắc chắn giao nhanh như cách người yêu cũ cấm sừng,0,màu son đẹp mềm_môi đóng_gói chắc_chắn giao người_yêu cũ cấm sừng
check ra mã sản phẩm giao hàng nhanh son lì mà hơi khô,2,check mã sản_phẩm giao hàng son lì hơi khô
lần t3 mua hàng rất ưng ý giao nhanh chaát lượng yẻn tâm,0,t3 mua hàng ưng_ý giao chaát yẻn tâm
son chuẩn khô nhanh màu này mình đánh không hiểu sao lại lên base hồng làm mình không thích lắm chứ không giống màu 12 nhưng gì t lần này giao hàng lâu quá thái độ nhân viên không được nhiệt tình lắm mình phải ra tận bưu cục gì t để lấy hàng được cái gói hộp khá xinh nên vote 4,2,son chuẩn khô màu đánh base hồng mình không lắm không màu 12 t này giao hàng thái_độ nhân_viên không nhiệt_tình lắm mình tận bưu_cục gì t hàng được gói hộp xinh vote 4
siêu đẹp hài lòng tất cả ❤,0,siêu đẹp hài_lòng tất_cả ❤
son sịn mịn màu 25 đúng là trăm nghe không bằng một thấy ạ các cậu yên tâm nhảy hố nhé,0,son sịn mịn màu 25 trăm yên_tâm nhảy hố
giao hàng không đúng sản phẩm mình chọn,1,giao hàng sản_phẩm
chất son đỉnh lắm mua lại lần thứ 2 rồi 😍,0,chất son đỉnh lắm mua 2 😍
dính môi,1,dính môi
son chủan còn được tặng quà thanks shop,0,son chủan tặng quà thanks shop
sản phẩm đóng gói đẹp kĩ lưỡng giao hành khá nhanh chất lượng tốt,0,sản_phẩm đóng_gói đẹp kĩ_lưỡng giao hành chất_lượng
son đẹp mà chất lượng lắm nha ạ giao hàng đúng ngày đựng trong hộp cũng đẹp lại còn có thiệp cảm ơn,0,son đẹp chất_lượng lắm nha giao hàng đựng hộp đẹp thiệp cảm_ơn
son màu đẹp mà thơm nữa cảm ơn shop,0,son màu đẹp thơm cảm_ơn shop
son đẹp lắm nha mọi người nên mua,0,son đẹp lắm nha mua
hàng rất khó chịu team mã là a12 nhưng màu bôi lên thực chất là a06 shop cần xem lại tiền rẻ dùng hàng fack là đúng nhưng mầu cần phải chuẩn một chút ok 🙂,1,hàng khó_chịu team mã a12 màu bôi thực_chất là a06 shop xem_lại tiền rẻ hàng fack là nhưng mầu cần chuẩn một_chút ok 🙂
giao hàng nhanh đóng gói đẹp son này mình được bạn cho đánh thử phiên bản vỏ đen thì thấy khá xinh nghe nói bản vỏ xanh có cải tiến thì phải nhưng vỏ xinh lắm nhơ các bạn mua của hãng nê hông lo fake nữa nè 💙 🤔,0,giao hàng đóng_gói đẹp son đánh thử phiên_bản vỏ đen xinh vỏ xanh cải_tiến thì vỏ xinh lắm nhơ bạn mua hãng nê hông lo fake nè 💙 🤔
